time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.71157536077e-07,1.02257065043e-07,10.0069812686,9.7416923591e-05,0.00041188737909,0.0,-4.734955064e-05,9.55731145446e-06,0.232689804876,0.00468796443993,0.0179191072377,0.0,476.62050179322654,477.98771798350606,476.8141875367661,477.1720976503051
0.12000000000000001,-1.48171781533e-05,3.44435434716e-06,10.0220729519,3.69818484174e-05,0.0012099231219,0.0,-0.000516384186261,0.000115381814011,0.270357721898,-0.0159466630758,0.0019346358846,0.0,417.2311598427136,415.83343135261845,417.80812939995917,416.0055359031618
0.18,-7.50987645561e-05,7.81526359528e-06,10.0444427589,6.28280880457,0.001306044939,0.0,-0.00150540553644,-4.5110391637e-05,0.475239175767,0.00687803882947,0.000928325395588,0.0,469.5445367522401,469.46644020898106,467.81228921744116,469.58598522867516
0.23999999999999996,-0.000196939158588,-1.46061523292e-06,10.0787136209,0.000395716652775,0.00186170856604,0.0,-0.00259549584906,-0.000193146238364,0.667030162551,0.0227542879145,0.0221676332428,0.0,463.79443561696206,465.4592568748994,465.50741386043086,466.7478037829037
0.3,-0.000397129436012,7.74569794801e-07,10.1222047166,0.00189232463346,0.00306598127192,0.0,-0.00420992550742,0.000417204413435,0.782600099616,0.0289965674057,0.015509305914,0.0,442.51346418818923,441.96507887306603,442.08150321385705,442.59558741187766
0.36000000000000004,-0.000714421901313,7.03159493863e-05,10.1714244227,0.00399466688886,0.00419159328246,0.0,-0.00646811467203,0.00209177881104,0.858001958884,0.0449900734003,0.0245764284702,0.0,429.1266405870314,429.895483119945,429.14335430281704,430.49915705101336
0.4200000000000001,-0.00120286880078,0.000296884816497,10.2276965335,0.00685243600922,0.00579530701775,0.0,-0.00998380114495,0.00576838395,1.01760397293,0.0524437013738,0.0307179269376,0.0,456.40453875252155,456.8945176941665,455.42534471595434,456.0223533629853
0.48000000000000015,-0.00193012331073,0.000799539149904,10.2920037154,0.0107740659567,0.00746851556553,0.0,-0.0144396167253,0.0113589827074,1.12586381232,0.0832671251563,0.0215205996521,0.0,440.6039295627254,439.8431842336884,439.65712990400004,442.20620865874025
0.5400000000000001,-0.00300374278194,0.00179573677537,10.3687973185,0.0157199318191,0.00848415919037,0.0,-0.021501046542,0.022503583966,1.43357966894,0.0807054415537,0.00563977406772,0.0,500.64428255621965,499.48749117746655,499.5323601885859,499.35024569487894
0.6000000000000002,-0.00448136501645,0.0035101660928,10.4590764837,0.0204128748143,0.00898092037113,0.0,-0.0277971506867,0.0351574201285,1.57553123156,0.0727062544183,0.013095396797,0.0,451.84202667304424,452.44251787994625,452.3240900855642,451.6842450820734
0.6600000000000003,-0.00634121024872,0.00606636240499,10.5569913343,0.0249641292549,0.00945797660712,0.0,-0.0342647121622,0.0505092398499,1.68812613822,0.0815020777397,-0.00509609457346,0.0,444.4028631660373,442.9092743722912,442.73751898824327,443.4650818639177
0.7200000000000003,-0.00863576801661,0.00975368890507,10.6660082224,0.0296422278182,0.00888457604649,0.0,-0.0421642070351,0.072991865887,1.94535252151,0.0697555826485,-0.0204398424941,0.0,487.94462869346705,486.7980277710146,487.0707000894064,486.1957153524121
0.7800000000000004,-0.0113793684586,0.0148830097377,10.7897151469,0.033839251953,0.00787443674019,0.0,-0.0491506188583,0.0984823876817,2.17778257388,0.07033702097,-0.010457960537,0.0,479.7617605710971,480.5191009703819,481.29152281864754,481.338842027094
0.8400000000000004,-0.0144967492675,0.021541135721,10.9243525194,0.0381957342306,0.00758774170699,0.0,-0.0547133503896,0.123904107487,2.30985464203,0.0767996442009,0.00467359583866,0.0,451.6478406068553,452.8666243595981,450.7666639683572,451.29257063426735
0.9000000000000005,-0.0179433213722,0.0298117568844,11.0666857153,0.0431320508627,0.00797383599744,0.0,-0.0602059024707,0.152278747389,2.43430539532,0.0914272872005,0.00974345111822,0.0,448.69226648404714,449.1035534381113,450.264250496554,451.45135577082624
0.9600000000000005,-0.021749263928,0.0400006360412,11.2188995585,0.0481228711123,0.0091452721366,0.0,-0.0667642533808,0.187957401719,2.63900671092,0.0565830179356,0.0341286003711,0.0,473.8392792160465,475.71010488861026,475.9094513722736,473.2397772799693
1.0200000000000005,-0.0260023894417,0.0525432530329,11.3854862976,0.0523510861287,0.0113492028304,0.0,-0.075272683646,0.230595067933,2.91319461593,0.0893089126762,0.0414870084637,0.0,494.4302198748708,494.9725000685518,495.3445346608944,497.7482187807299
1.0800000000000005,-0.0307751904256,0.0675321226427,11.564221912,0.0577500967226,0.014478379736,0.0,-0.084122473514,0.269587927096,3.04427749633,0.0912987692576,0.0677366246906,0.0,454.57519328085573,456.67540517392916,454.31570171915047,454.48179398908405
1.1400000000000006,-0.0361345596546,0.0849078431113,11.7496302712,0.063330799145,0.0190044464754,0.0,-0.0949558179831,0.310143681143,3.13570577809,0.0962323281349,0.0875508572144,0.0,442.81905356679573,444.4503838134902,443.1532797398566,443.56595170926397
1.2000000000000006,-0.0422770038859,0.104949841294,11.9423464124,0.0693161240206,0.0239070764646,0.0,-0.110345648602,0.358538694833,3.28767529603,0.106001179033,0.0662617130757,0.0,463.19966035179624,461.52737062746024,462.86432694628934,463.6405784160185
1.2600000000000007,-0.0494332523454,0.127991906875,12.1436198128,0.0759450567007,0.027890241942,0.0,-0.128612429516,0.410195281464,3.4209732534,0.118197484735,0.0666335724818,0.0,457.8092749750866,457.8419997044643,458.00689320449777,458.98620393806283
